dataset,method,metric,value
MVTec AD,CLIP,Image-AUROC,74.1
MVTec AD,CLIP,Image-AP,87.6
MVTec AD,CLIP,Pixel-AUROC,38.4
MVTec AD,CLIP,Pixel-AUPRO,11.3
MVTec AD,WinCLIP,Image-AUROC,91.8
MVTec AD,WinCLIP,Image-AP,96.5
MVTec AD,WinCLIP,Pixel-AUROC,85.1
MVTec AD,WinCLIP,Pixel-AUPRO,64.6
MVTec AD,VAND,Image-AUROC,86.1
MVTec AD,VAND,Image-AP,93.5
MVTec AD,VAND,Pixel-AUROC,87.6
MVTec AD,VAND,Pixel-AUPRO,44.0
MVTec AD,CoOp,Image-AUROC,88.8
MVTec AD,CoOp,Image-AP,94.8
MVTec AD,CoOp,Pixel-AUROC,33.3
MVTec AD,CoOp,Pixel-AUPRO,6.7
MVTec AD,AdaCLIP,Image-AUROC,89.2
MVTec AD,AdaCLIP,Image-AP,96.4
MVTec AD,AdaCLIP,Pixel-AUROC,88.7
MVTec AD,AdaCLIP,Pixel-AUPRO,37.8
MVTec AD,AnomalyCLIP,Image-AUROC,91.5
MVTec AD,AnomalyCLIP,Image-AP,96.2
MVTec AD,AnomalyCLIP,Pixel-AUROC,91.1
MVTec AD,AnomalyCLIP,Pixel-AUPRO,81.4
MVTec AD,AA-CLIP,Image-AUROC,90.5
MVTec AD,AA-CLIP,Image-AP,94.9
MVTec AD,AA-CLIP,Pixel-AUROC,91.9
MVTec AD,AA-CLIP,Pixel-AUPRO,84.6
VisA,CLIP,Image-AUROC,66.4
VisA,CLIP,Image-AP,71.5
VisA,CLIP,Pixel-AUROC,46.6
VisA,CLIP,Pixel-AUPRO,14.8
VisA,WinCLIP,Image-AUROC,78.1
VisA,WinCLIP,Image-AP,81.2
VisA,WinCLIP,Pixel-AUROC,79.6
VisA,WinCLIP,Pixel-AUPRO,56.8
VisA,VAND,Image-AUROC,78.0
VisA,VAND,Image-AP,81.4
VisA,VAND,Pixel-AUROC,94.2
VisA,VAND,Pixel-AUPRO,86.8
VisA,CoOp,Image-AUROC,62.8
VisA,CoOp,Image-AP,68.1
VisA,CoOp,Pixel-AUROC,24.2
VisA,CoOp,Pixel-AUPRO,3.8
VisA,AdaCLIP,Image-AUROC,85.8
VisA,AdaCLIP,Image-AP,84.9
VisA,AdaCLIP,Pixel-AUROC,95.5
VisA,AdaCLIP,Pixel-AUPRO,56.8
VisA,AnomalyCLIP,Image-AUROC,82.1
VisA,AnomalyCLIP,Image-AP,85.4
VisA,AnomalyCLIP,Pixel-AUROC,95.4
VisA,AnomalyCLIP,Pixel-AUPRO,87.0
VisA,AA-CLIP,Image-AUROC,84.6
VisA,AA-CLIP,Image-AP,82.2
VisA,AA-CLIP,Pixel-AUROC,95.5
VisA,AA-CLIP,Pixel-AUPRO,83.0
MPDD,CLIP,Image-AUROC,54.3
MPDD,CLIP,Image-AP,65.4
MPDD,CLIP,Pixel-AUROC,62.1
MPDD,CLIP,Pixel-AUPRO,33.0
