dataset,method,metric,value
HeadCT,CLIP,Image-AUROC,56.5
HeadCT,CLIP,Image-AP,58.4
HeadCT,WinCLIP,Image-AUROC,81.8
HeadCT,WinCLIP,Image-AP,80.2
HeadCT,VAND,Image-AUROC,89.1
HeadCT,VAND,Image-AP,89.4
HeadCT,CoOp,Image-AUROC,78.4
HeadCT,CoOp,Image-AP,78.8
HeadCT,AnomalyCLIP,Image-AUROC,93.4
HeadCT,AnomalyCLIP,Image-AP,91.6
BrainMRI,CLIP,Image-AUROC,73.9
BrainMRI,CLIP,Image-AP,81.7
BrainMRI,WinCLIP,Image-AUROC,86.6
BrainMRI,WinCLIP,Image-AP,91.5
BrainMRI,VAND,Image-AUROC,89.3
BrainMRI,VAND,Image-AP,90.9
BrainMRI,CoOp,Image-AUROC,61.3
BrainMRI,CoOp,Image-AP,44.9
BrainMRI,AnomalyCLIP,Image-AUROC,90.3
BrainMRI,AnomalyCLIP,Image-AP,92.2
Br35H,CLIP,Image-AUROC,78.4
Br35H,CLIP,Image-AP,78.8
Br35H,WinCLIP,Image-AUROC,80.5
Br35H,WinCLIP,Image-AP,82.2
Br35H,VAND,Image-AUROC,93.1
Br35H,VAND,Image-AP,92.9
Br35H,CoOp,Image-AUROC,86.0
Br35H,CoOp,Image-AP,87.5
Br35H,AnomalyCLIP,Image-AUROC,94.6
Br35H,AnomalyCLIP,Image-AP,94.7
Average,CLIP,Image-AUROC,69.6
Average,CLIP,Image-AP,73.0
Average,WinCLIP,Image-AUROC,83.0
Average,WinCLIP,Image-AP,84.6
Average,VAND,Image-AUROC,90.5
Average,VAND,Image-AP,91.1
Average,CoOp,Image-AUROC,75.2
Average,CoOp,Image-AP,70.4
Average,AnomalyCLIP,Image-AUROC,92.8
Average,AnomalyCLIP,Image-AP,92.8
