dataset,method,metric,value
ISIC,CLIP,Pixel-AUROC,33.1
ISIC,CLIP,Pixel-AUPRO,5.8
ISIC,WinCLIP,Pixel-AUROC,83.3
ISIC,WinCLIP,Pixel-AUPRO,55.1
ISIC,VAND,Pixel-AUROC,89.4
ISIC,VAND,Pixel-AUPRO,77.2
ISIC,CoOp,Pixel-AUROC,51.7
ISIC,CoOp,Pixel-AUPRO,15.9
ISIC,MVFA,Pixel-AUROC,84.5
ISIC,MVFA,Pixel-AUPRO,69.1
ISIC,AdaCLIP,Pixel-AUROC,89.3
ISIC,AdaCLIP,Pixel-AUPRO,33.1
ISIC,AnomalyCLIP,Pixel-AUROC,83.0
ISIC,AnomalyCLIP,Pixel-AUPRO,63.8
ISIC,AA-CLIP,Pixel-AUROC,93.9
ISIC,AA-CLIP,Pixel-AUPRO,87.0
ColonDB,CLIP,Pixel-AUROC,49.5
ColonDB,CLIP,Pixel-AUPRO,15.8
ColonDB,WinCLIP,Pixel-AUROC,70.3
ColonDB,WinCLIP,Pixel-AUPRO,32.5
ColonDB,VAND,Pixel-AUROC,78.4
ColonDB,VAND,Pixel-AUPRO,64.6
ColonDB,CoOp,Pixel-AUROC,40.5
ColonDB,CoOp,Pixel-AUPRO,2.6
ColonDB,MVFA,Pixel-AUROC,80.8
ColonDB,MVFA,Pixel-AUPRO,65.9
ColonDB,AdaCLIP,Pixel-AUROC,90.4
ColonDB,AdaCLIP,Pixel-AUPRO,56.8
ColonDB,AnomalyCLIP,Pixel-AUROC,
ColonDB,AnomalyCLIP,Pixel-AUPRO,
ColonDB,AA-CLIP,Pixel-AUROC,84.0
ColonDB,AA-CLIP,Pixel-AUPRO,67.5
ClinicDB,CLIP,Pixel-AUROC,47.5
ClinicDB,CLIP,Pixel-AUPRO,18.9
ClinicDB,WinCLIP,Pixel-AUROC,51.2
ClinicDB,WinCLIP,Pixel-AUPRO,13.8
ClinicDB,VAND,Pixel-AUROC,80.5
ClinicDB,VAND,Pixel-AUPRO,60.7
ClinicDB,CoOp,Pixel-AUROC,34.8
ClinicDB,CoOp,Pixel-AUPRO,2.4
ClinicDB,MVFA,Pixel-AUROC,82.8
ClinicDB,MVFA,Pixel-AUPRO,66.3
ClinicDB,AdaCLIP,Pixel-AUROC,84.4
ClinicDB,AdaCLIP,Pixel-AUPRO,56.1
ClinicDB,AnomalyCLIP,Pixel-AUROC,92.4
ClinicDB,AnomalyCLIP,Pixel-AUPRO,82.9
ClinicDB,AA-CLIP,Pixel-AUROC,89.9
ClinicDB,AA-CLIP,Pixel-AUPRO,70.1
Kvasir,CLIP,Pixel-AUROC,44.6
Kvasir,CLIP,Pixel-AUPRO,17.7
Kvasir,WinCLIP,Pixel-AUROC,69.7
Kvasir,WinCLIP,Pixel-AUPRO,24.5
Kvasir,VAND,Pixel-AUROC,75.0
Kvasir,VAND,Pixel-AUPRO,36.2
Kvasir,CoOp,Pixel-AUROC,44.1
Kvasir,CoOp,Pixel-AUPRO,3.5
Kvasir,MVFA,Pixel-AUROC,81.9
Kvasir,MVFA,Pixel-AUPRO,43.7
Kvasir,AdaCLIP,Pixel-AUROC,77.5
Kvasir,AdaCLIP,Pixel-AUPRO,41.3
Kvasir,AnomalyCLIP,Pixel-AUROC,92.5
Kvasir,AnomalyCLIP,Pixel-AUPRO,61.5
Kvasir,AA-CLIP,Pixel-AUROC,87.2
Kvasir,AA-CLIP,Pixel-AUPRO,52.6
Average,CLIP,Pixel-AUROC,43.7
Average,CLIP,Pixel-AUPRO,14.6
Average,WinCLIP,Pixel-AUROC,68.6
Average,WinCLIP,Pixel-AUPRO,31.5
Average,VAND,Pixel-AUROC,80.8
Average,VAND,Pixel-AUPRO,59.7
Average,CoOp,Pixel-AUROC,42.8
Average,CoOp,Pixel-AUPRO,6.1
Average,MVFA,Pixel-AUROC,82.5
Average,MVFA,Pixel-AUPRO,61.3
Average,AdaCLIP,Pixel-AUROC,85.4
Average,AdaCLIP,Pixel-AUPRO,46.8
Average,AnomalyCLIP,Pixel-AUROC,89.3
Average,AnomalyCLIP,Pixel-AUPRO,69.4
Average,AA-CLIP,Pixel-AUROC,88.7
Average,AA-CLIP,Pixel-AUPRO,69.3
